accession	organism	kingdom	length	tm_helix_start_leq_90
Q969J2	Homo sapiens	Metazoa	545	false
Q969S2	Homo sapiens	Metazoa	332	false
Q96A72	Homo sapiens	Metazoa	148	false
Q96BP3	Homo sapiens	Metazoa	646	false
Q96G74	Homo sapiens	Metazoa	571	false
Q96H86	Homo sapiens	Metazoa	408	false
Q96JN0	Homo sapiens	Metazoa	433	false
Q96M94	Homo sapiens	Metazoa	604	false
Q96MG7	Homo sapiens	Metazoa	304	false
Q96PZ0	Homo sapiens	Metazoa	661	false
Q96QR8	Homo sapiens	Metazoa	312	false
Q96QT6	Homo sapiens	Metazoa	1004	false
Q96RI1	Homo sapiens	Metazoa	486	false
Q96S53	Homo sapiens	Metazoa	571	false
Q96ST2	Homo sapiens	Metazoa	819	false
Q96SZ4	Homo sapiens	Metazoa	780	false
Q99594	Homo sapiens	Metazoa	435	false
Q99990	Homo sapiens	Metazoa	258	false
Q9BQA5	Homo sapiens	Metazoa	517	false
Q9BRJ7	Homo sapiens	Metazoa	211	false
Q9BTF0	Homo sapiens	Metazoa	503	false
Q9BUJ2	Homo sapiens	Metazoa	856	false
Q9BUU2	Homo sapiens	Metazoa	404	false
Q9BWC9	Homo sapiens	Metazoa	280	false
Q9BY27	Homo sapiens	Metazoa	220	false
Q9GZR1	Homo sapiens	Metazoa	1112	false
Q9H160	Homo sapiens	Metazoa	280	false
Q9H161	Homo sapiens	Metazoa	411	false
Q9H2G4	Homo sapiens	Metazoa	693	false
Q9H2S9	Homo sapiens	Metazoa	585	false
Q9H3F6	Homo sapiens	Metazoa	313	false
Q9H3P2	Homo sapiens	Metazoa	528	false
Q9H4W6	Homo sapiens	Metazoa	596	false
Q9H6T0	Homo sapiens	Metazoa	727	false
Q9H8M2	Homo sapiens	Metazoa	597	false
Q9H9A7	Homo sapiens	Metazoa	625	false
Q9HCE5	Homo sapiens	Metazoa	456	false
Q9HCS4	Homo sapiens	Metazoa	588	false
Q9HCS7	Homo sapiens	Metazoa	855	false
Q9NPC7	Homo sapiens	Metazoa	610	false
Q9NPD8	Homo sapiens	Metazoa	197	false
Q9NPI8	Homo sapiens	Metazoa	374	false
Q9NQ31	Homo sapiens	Metazoa	210	false
Q9NQG5	Homo sapiens	Metazoa	326	false
Q9NQV6	Homo sapiens	Metazoa	1147	false
Q9NTW7	Homo sapiens	Metazoa	645	false
Q9NYD6	Homo sapiens	Metazoa	342	false
Q9NYW8	Homo sapiens	Metazoa	714	false
Q9NZ71	Homo sapiens	Metazoa	1219	false
Q9NZC4	Homo sapiens	Metazoa	300	false
Q9P2R6	Homo sapiens	Metazoa	1566	false
Q9UBC0	Homo sapiens	Metazoa	465	false
Q9UBP6	Homo sapiens	Metazoa	276	false
Q9UBW7	Homo sapiens	Metazoa	1377	false
Q9UBX0	Homo sapiens	Metazoa	185	false
Q9UHH9	Homo sapiens	Metazoa	426	false
Q9UHK0	Homo sapiens	Metazoa	495	false
Q9UI36	Homo sapiens	Metazoa	758	false
Q9UID6	Homo sapiens	Metazoa	485	false
Q9UK45	Homo sapiens	Metazoa	103	false
Q9UKF6	Homo sapiens	Metazoa	684	false
Q9UL49	Homo sapiens	Metazoa	500	false
Q9ULD5	Homo sapiens	Metazoa	831	false
Q9ULX9	Homo sapiens	Metazoa	164	false
Q9UPN9	Homo sapiens	Metazoa	1127	false
Q9Y2P7	Homo sapiens	Metazoa	627	false
Q9Y2U9	Homo sapiens	Metazoa	406	false
Q9Y3B4	Homo sapiens	Metazoa	125	false
Q9Y4X4	Homo sapiens	Metazoa	402	false
Q9Y535	Homo sapiens	Metazoa	204	false
Q9Y5Q8	Homo sapiens	Metazoa	519	false
Q9Y6F8	Homo sapiens	Metazoa	540	false
Q9Y6W3	Homo sapiens	Metazoa	813	false
Q15750	Homo sapiens	Metazoa	504	false
Q8N9F0	Homo sapiens	Metazoa	302	false
O14907	Homo sapiens	Metazoa	124	false
F4IAX1	Arabidopsis thaliana	Plants	681	false
O62140	Caenorhabditis elegans	Metazoa	674	false
O64883	Arabidopsis thaliana	Plants	560	false
O82399	Arabidopsis thaliana	Plants	354	false
O96759	Dictyostelium discoideum	Other	611	false
P07871	Rattus norvegicus	Metazoa	424	false
P38998	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	373	false
P59047	Homo sapiens	Metazoa	1200	false
P97562	Rattus norvegicus	Metazoa	681	false
Q05871	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	280	false
Q07523	Rattus norvegicus	Metazoa	353	false
Q20992	Caenorhabditis elegans	Metazoa	667	false
Q27487	Caenorhabditis elegans	Metazoa	500	false
Q6Q2Z6	Mus musculus	Metazoa	421	false
Q8BWN8	Mus musculus	Metazoa	421	false
Q99P30	Mus musculus	Metazoa	236	false
Q9C9W5	Arabidopsis thaliana	Plants	386	false
Q9EQR2	Rattus norvegicus	Metazoa	644	false
Q9LR30	Arabidopsis thaliana	Plants	481	false
Q9M0X9	Arabidopsis thaliana	Plants	544	false
Q9QYR7	Mus musculus	Metazoa	432	false
Q9S7E9	Arabidopsis thaliana	Plants	481	false
Q9S850	Arabidopsis thaliana	Plants	393	false
Q9STS1	Arabidopsis thaliana	Plants	503	false
Q9ZP05	Arabidopsis thaliana	Plants	354	false
Q9ZPI5	Arabidopsis thaliana	Plants	725	false
P12931	Homo sapiens	Metazoa	536	false
P49903	Homo sapiens	Metazoa	392	false
Q7L2E3	Homo sapiens	Metazoa	1194	false
O00213	Homo sapiens	Metazoa	710	false
P07332	Homo sapiens	Metazoa	822	false
P10636	Homo sapiens	Metazoa	758	false
Q9NYJ8	Homo sapiens	Metazoa	693	false
Q9Y6I9	Homo sapiens	Metazoa	313	true
E0CX11	Homo sapiens	Metazoa	47	true
O14925	Homo sapiens	Metazoa	209	true
O75964	Homo sapiens	Metazoa	103	false
O96000	Homo sapiens	Metazoa	172	false
P30049	Homo sapiens	Metazoa	168	false
P50416	Homo sapiens	Metazoa	773	true
P56381	Homo sapiens	Metazoa	51	false
P56385	Homo sapiens	Metazoa	69	false
P57105	Homo sapiens	Metazoa	145	false
Q16891	Homo sapiens	Metazoa	758	true
Q5XKP0	Homo sapiens	Metazoa	118	true
Q86UT6	Homo sapiens	Metazoa	975	false
Q8NAN2	Homo sapiens	Metazoa	632	true
Q92843	Homo sapiens	Metazoa	193	false
Q96H96	Homo sapiens	Metazoa	371	true
Q96KR6	Homo sapiens	Metazoa	192	false
Q96TA2	Homo sapiens	Metazoa	773	false
Q9H3K2	Homo sapiens	Metazoa	345	true
Q9NUT2	Homo sapiens	Metazoa	735	false
Q9NX14	Homo sapiens	Metazoa	153	true
Q9Y2C4	Homo sapiens	Metazoa	368	false
Q9Y3E5	Homo sapiens	Metazoa	179	true
Q9Y5U8	Homo sapiens	Metazoa	109	true
O14880	Homo sapiens	Metazoa	152	true
O43819	Homo sapiens	Metazoa	266	true
O75880	Homo sapiens	Metazoa	301	false
O75947	Homo sapiens	Metazoa	161	false
O96008	Homo sapiens	Metazoa	361	false
P0CG48	Homo sapiens	Metazoa	685	false
P24539	Homo sapiens	Metazoa	256	false
P40939	Homo sapiens	Metazoa	763	false
P45880	Homo sapiens	Metazoa	294	true
Q16611	Homo sapiens	Metazoa	211	false
Q6DKK2	Homo sapiens	Metazoa	380	false
Q6Q0C1	Homo sapiens	Metazoa	308	true
Q7KZN9	Homo sapiens	Metazoa	410	true
Q8N5M1	Homo sapiens	Metazoa	289	false
Q96AG3	Homo sapiens	Metazoa	418	false
Q96LL9	Homo sapiens	Metazoa	226	false
Q9H1U9	Homo sapiens	Metazoa	297	true
Q9UQ90	Homo sapiens	Metazoa	795	false
Q8TCG2	Homo sapiens	Metazoa	481	false
Q96GD0	Homo sapiens	Metazoa	296	false
P55789	Homo sapiens	Metazoa	205	false
Q6PI48	Homo sapiens	Metazoa	645	false
Q9H902	Homo sapiens	Metazoa	201	true
P40337	Homo sapiens	Metazoa	213	false
P14408	Rattus norvegicus	Metazoa	507	false
Q80UF7	Mus musculus	Metazoa	732	false
Q91VR5	Mus musculus	Metazoa	740	false
Q9D3F7	Mus musculus	Metazoa	229	false
O00165	Homo sapiens	Metazoa	279	false
O14512	Homo sapiens	Metazoa	581	false
Q5JTC6	Homo sapiens	Metazoa	1135	false
Q96PX9	Homo sapiens	Metazoa	1627	false
Q06609	Homo sapiens	Metazoa	339	false
A2A9C3	Mus musculus	Metazoa	3431	false
A2AKK5	Mus musculus	Metazoa	416	false
G5EDP2	Caenorhabditis elegans	Metazoa	412	false
P21775	Rattus norvegicus	Metazoa	434	false
P32573	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	292	false
P35182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	281	false
P57093	Rattus norvegicus	Metazoa	338	false
Q12524	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	340	false
Q42547	Arabidopsis thaliana	Plants	492	false
Q7X809	Oryza sativa subsp. japonica	Plants	484	false
Q8BGC4	Mus musculus	Metazoa	377	false
Q8CHM7	Rattus norvegicus	Metazoa	581	false
Q8L866	Arabidopsis thaliana	Plants	776	false
Q8VZD4	Arabidopsis thaliana	Plants	709	false
Q9LYT1	Arabidopsis thaliana	Plants	488	false
Q9NYQ2	Mus musculus	Metazoa	353	false
Q9S9W2	Arabidopsis thaliana	Plants	254	false
A6NK89	Homo sapiens	Metazoa	507	false
P23508	Homo sapiens	Metazoa	829	false
O14521	Homo sapiens	Metazoa	159	true
O75431	Homo sapiens	Metazoa	263	false
P22557	Homo sapiens	Metazoa	587	false
Q10713	Homo sapiens	Metazoa	525	false
Q5TEU4	Homo sapiens	Metazoa	345	false
Q96CU9	Homo sapiens	Metazoa	486	true
Q96GZ6	Homo sapiens	Metazoa	507	true
Q96I51	Homo sapiens	Metazoa	464	false
Q9BZJ4	Homo sapiens	Metazoa	359	true
Q9NZJ6	Homo sapiens	Metazoa	369	false
Q9Y584	Homo sapiens	Metazoa	194	true
Q8NFG4	Homo sapiens	Metazoa	579	false
P27796	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	417	false
Q9UMX3	Homo sapiens	Metazoa	212	false
Q9Y5Z9	Homo sapiens	Metazoa	338	true
Q61425	Mus musculus	Metazoa	314	false
O23627	Arabidopsis thaliana	Plants	729	false
Q7KTX7	Drosophila melanogaster	Metazoa	482	false
Q8VHK9	Mus musculus	Metazoa	1001	false
Q9VAW5	Drosophila melanogaster	Metazoa	1673	false
O94826	Homo sapiens	Metazoa	608	true
P18859	Homo sapiens	Metazoa	108	false
Q15388	Homo sapiens	Metazoa	145	true
Q16134	Homo sapiens	Metazoa	617	false
Q6P4A7	Homo sapiens	Metazoa	337	false
Q8TD22	Homo sapiens	Metazoa	340	false
Q92934	Homo sapiens	Metazoa	168	false
Q96B49	Homo sapiens	Metazoa	74	false
Q96ER9	Homo sapiens	Metazoa	411	false
Q99595	Homo sapiens	Metazoa	171	true
Q9NWR8	Homo sapiens	Metazoa	336	false
Q9Y2Z9	Homo sapiens	Metazoa	468	false
Q9Y6C9	Homo sapiens	Metazoa	303	true
O00746	Homo sapiens	Metazoa	187	false
Q9Y241	Homo sapiens	Metazoa	93	true
P41250	Homo sapiens	Metazoa	739	false
O15027	Homo sapiens	Metazoa	2357	false
Q8WV41	Homo sapiens	Metazoa	574	false
Q96L92	Homo sapiens	Metazoa	541	false
P08238	Homo sapiens	Metazoa	724	false
P02686	Homo sapiens	Metazoa	304	false
Q9Y446	Homo sapiens	Metazoa	797	false
Q14444	Homo sapiens	Metazoa	709	false
Q96BS2	Homo sapiens	Metazoa	214	false
A0A0B4J2F0	Homo sapiens	Metazoa	54	true
O95202	Homo sapiens	Metazoa	739	false
O95563	Homo sapiens	Metazoa	127	true
O95847	Homo sapiens	Metazoa	323	true
P0CG47	Homo sapiens	Metazoa	229	false
P12235	Homo sapiens	Metazoa	298	true
Q5RI15	Homo sapiens	Metazoa	118	true
Q70CQ3	Homo sapiens	Metazoa	517	true
Q7L4E1	Homo sapiens	Metazoa	593	true
Q8N5G0	Homo sapiens	Metazoa	67	true
Q8N8R3	Homo sapiens	Metazoa	303	true
Q96E52	Homo sapiens	Metazoa	524	false
Q9BU61	Homo sapiens	Metazoa	184	false
Q9BWH2	Homo sapiens	Metazoa	189	true
Q9H9B4	Homo sapiens	Metazoa	322	false
Q9NVA1	Homo sapiens	Metazoa	299	false
Q9P0S2	Homo sapiens	Metazoa	106	true
Q9Y267	Homo sapiens	Metazoa	594	true
Q9Y276	Homo sapiens	Metazoa	419	true
P10415	Homo sapiens	Metazoa	239	false
B3DMA2	Rattus norvegicus	Metazoa	779	false
O24174	Oryza sativa subsp. japonica	Plants	505	false
P07896	Rattus norvegicus	Metazoa	722	false
P16163	Drosophila melanogaster	Metazoa	352	false
P29340	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	183	false
Q10CE4	Oryza sativa subsp. japonica	Plants	369	false
Q56YA5	Arabidopsis thaliana	Plants	401	false
Q6Z965	Oryza sativa subsp. japonica	Plants	394	false
Q84P21	Arabidopsis thaliana	Plants	546	false
Q84P23	Arabidopsis thaliana	Plants	562	false
Q84P24	Arabidopsis thaliana	Plants	566	false
Q84VV6	Arabidopsis thaliana	Plants	146	false
Q8LKS5	Arabidopsis thaliana	Plants	700	false
Q94AT3	Arabidopsis thaliana	Plants	378	false
Q9DBA6	Mus musculus	Metazoa	568	false
Q9SKX5	Arabidopsis thaliana	Plants	490	false
Q9WV68	Mus musculus	Metazoa	292	false
P30536	Homo sapiens	Metazoa	169	true
Q12887	Homo sapiens	Metazoa	443	false
Q14318	Homo sapiens	Metazoa	412	false
P40305	Homo sapiens	Metazoa	122	true
P07948	Homo sapiens	Metazoa	512	false
O15357	Homo sapiens	Metazoa	1258	false
P63000	Homo sapiens	Metazoa	192	false
Q92681	Homo sapiens	Metazoa	617	false
Q8GUM2	Arabidopsis thaliana	Plants	682	false
P17706	Homo sapiens	Metazoa	415	false
P03928	Homo sapiens	Metazoa	68	true
Q8IUX1	Homo sapiens	Metazoa	230	true
O75131	Homo sapiens	Metazoa	537	false
P05496	Homo sapiens	Metazoa	136	true
P48201	Homo sapiens	Metazoa	142	true
Q06055	Homo sapiens	Metazoa	141	true
Q9NPL8	Homo sapiens	Metazoa	285	true
Q9BZD2	Homo sapiens	Metazoa	475	true
Q93008	Homo sapiens	Metazoa	2554	false
P23396	Homo sapiens	Metazoa	243	false
A9UHW6	Homo sapiens	Metazoa	222	false
O14503	Homo sapiens	Metazoa	412	false
O14519	Homo sapiens	Metazoa	115	false
O14979	Homo sapiens	Metazoa	420	false
O15111	Homo sapiens	Metazoa	745	false
O15169	Homo sapiens	Metazoa	862	false
O43598	Homo sapiens	Metazoa	174	false
O43719	Homo sapiens	Metazoa	755	false
O43913	Homo sapiens	Metazoa	435	false
O60264	Homo sapiens	Metazoa	1052	false
O60315	Homo sapiens	Metazoa	1214	false
O60502	Homo sapiens	Metazoa	916	false
O60814	Homo sapiens	Metazoa	126	false
O60941	Homo sapiens	Metazoa	627	false
O75344	Homo sapiens	Metazoa	327	false
O75367	Homo sapiens	Metazoa	369	false
O75679	Homo sapiens	Metazoa	317	false
O75956	Homo sapiens	Metazoa	126	false
O76075	Homo sapiens	Metazoa	338	false
O94993	Homo sapiens	Metazoa	753	false
O95260	Homo sapiens	Metazoa	518	false
O95905	Homo sapiens	Metazoa	644	false
P04080	Homo sapiens	Metazoa	98	false
P05204	Homo sapiens	Metazoa	90	false
P06899	Homo sapiens	Metazoa	126	false
P07305	Homo sapiens	Metazoa	194	false
P09038	Homo sapiens	Metazoa	288	false
P0C0S8	Homo sapiens	Metazoa	130	false
P0C5Z0	Homo sapiens	Metazoa	115	false
P0C870	Homo sapiens	Metazoa	316	false
P10276	Homo sapiens	Metazoa	462	false
P11308	Homo sapiens	Metazoa	479	false
P13489	Homo sapiens	Metazoa	461	false
P16989	Homo sapiens	Metazoa	372	false
P17096	Homo sapiens	Metazoa	107	false
P17676	Homo sapiens	Metazoa	345	false
P20618	Homo sapiens	Metazoa	241	false
P21127	Homo sapiens	Metazoa	795	false
P25440	Homo sapiens	Metazoa	801	false
P25788	Homo sapiens	Metazoa	255	false
P26447	Homo sapiens	Metazoa	101	false
P28370	Homo sapiens	Metazoa	1042	false
P30281	Homo sapiens	Metazoa	292	false
P31269	Homo sapiens	Metazoa	272	false
P31941	Homo sapiens	Metazoa	199	false
P31949	Homo sapiens	Metazoa	105	false
P33778	Homo sapiens	Metazoa	126	false
P38935	Homo sapiens	Metazoa	993	false
P42224	Homo sapiens	Metazoa	750	false
P42685	Homo sapiens	Metazoa	505	false
P46934	Homo sapiens	Metazoa	1319	false
P49137	Homo sapiens	Metazoa	400	false
P49842	Homo sapiens	Metazoa	254	false
P51617	Homo sapiens	Metazoa	712	false
P51817	Homo sapiens	Metazoa	358	false
P53804	Homo sapiens	Metazoa	2025	false
P54845	Homo sapiens	Metazoa	237	false
P55263	Homo sapiens	Metazoa	362	false
P55273	Homo sapiens	Metazoa	166	false
P55854	Homo sapiens	Metazoa	103	false
P56645	Homo sapiens	Metazoa	1201	false
P57075	Homo sapiens	Metazoa	661	false
P58876	Homo sapiens	Metazoa	126	false
P61088	Homo sapiens	Metazoa	152	false
P62952	Homo sapiens	Metazoa	87	true
P68036	Homo sapiens	Metazoa	154	false
P68543	Homo sapiens	Metazoa	259	false
P84243	Homo sapiens	Metazoa	136	false
Q00341	Homo sapiens	Metazoa	1268	false
Q01534	Homo sapiens	Metazoa	308	false
Q01892	Homo sapiens	Metazoa	262	false
Q04741	Homo sapiens	Metazoa	290	false
Q09161	Homo sapiens	Metazoa	790	false
Q0PNE2	Homo sapiens	Metazoa	266	false
Q0VD86	Homo sapiens	Metazoa	236	false
Q12830	Homo sapiens	Metazoa	3046	false
Q12888	Homo sapiens	Metazoa	1972	false
Q12899	Homo sapiens	Metazoa	539	false
Q13043	Homo sapiens	Metazoa	487	false
Q13117	Homo sapiens	Metazoa	558	false
Q13309	Homo sapiens	Metazoa	424	false
Q13485	Homo sapiens	Metazoa	552	false
Q13489	Homo sapiens	Metazoa	604	false
Q13769	Homo sapiens	Metazoa	683	false
Q14140	Homo sapiens	Metazoa	314	false
Q14493	Homo sapiens	Metazoa	270	false
Q14566	Homo sapiens	Metazoa	821	false
Q14738	Homo sapiens	Metazoa	602	false
Q14CZ0	Homo sapiens	Metazoa	275	false
Q15319	Homo sapiens	Metazoa	338	false
Q15326	Homo sapiens	Metazoa	602	false
Q15366	Homo sapiens	Metazoa	365	false
Q15418	Homo sapiens	Metazoa	735	false
Q16629	Homo sapiens	Metazoa	238	false
Q16665	Homo sapiens	Metazoa	826	false
Q16777	Homo sapiens	Metazoa	129	false
Q53ET0	Homo sapiens	Metazoa	693	false
Q53QV2	Homo sapiens	Metazoa	105	false
Q56P42	Homo sapiens	Metazoa	97	false
Q5H9R7	Homo sapiens	Metazoa	873	false
Q5QNW6	Homo sapiens	Metazoa	126	false
Q5TA45	Homo sapiens	Metazoa	600	false
Q5TCS8	Homo sapiens	Metazoa	1911	false
Q68E01	Homo sapiens	Metazoa	1043	false
Q6DN90	Homo sapiens	Metazoa	963	false
Q6FI13	Homo sapiens	Metazoa	130	false
Q6IBW4	Homo sapiens	Metazoa	605	false
Q6ICB0	Homo sapiens	Metazoa	168	false
Q6P2D8	Homo sapiens	Metazoa	792	false
Q6PGP7	Homo sapiens	Metazoa	1564	false
Q6PJG6	Homo sapiens	Metazoa	821	false
Q6RFH8	Homo sapiens	Metazoa	374	false
Q6ZRQ5	Homo sapiens	Metazoa	1243	false
Q71DI3	Homo sapiens	Metazoa	136	false
Q7L7L0	Homo sapiens	Metazoa	130	false
Q7RTN6	Homo sapiens	Metazoa	431	false
Q7Z3Z4	Homo sapiens	Metazoa	852	false
Q86TU7	Homo sapiens	Metazoa	594	false
Q86UY6	Homo sapiens	Metazoa	237	false
Q86W50	Homo sapiens	Metazoa	562	false
Q8IUQ4	Homo sapiens	Metazoa	282	false
Q8IYR2	Homo sapiens	Metazoa	804	false
Q8N488	Homo sapiens	Metazoa	228	false
Q8NAG6	Homo sapiens	Metazoa	615	false
Q8NB14	Homo sapiens	Metazoa	1042	false
Q8NB78	Homo sapiens	Metazoa	822	false
Q8NE09	Homo sapiens	Metazoa	1264	false
Q8NEZ5	Homo sapiens	Metazoa	403	false
Q8TCY9	Homo sapiens	Metazoa	931	false
Q8TE02	Homo sapiens	Metazoa	300	false
Q8TF63	Homo sapiens	Metazoa	244	false
Q8WUF5	Homo sapiens	Metazoa	828	false
Q8WUI4	Homo sapiens	Metazoa	952	false
Q92630	Homo sapiens	Metazoa	601	false
Q92945	Homo sapiens	Metazoa	711	false
Q96B26	Homo sapiens	Metazoa	276	false
Q96DN6	Homo sapiens	Metazoa	1003	false
Q96EK4	Homo sapiens	Metazoa	314	false
Q96GN5	Homo sapiens	Metazoa	454	false
Q96KQ4	Homo sapiens	Metazoa	1090	false
Q96LD4	Homo sapiens	Metazoa	638	false
Q96LI6	Homo sapiens	Metazoa	401	false
Q96MB7	Homo sapiens	Metazoa	349	false
Q99490	Homo sapiens	Metazoa	1192	false
Q99593	Homo sapiens	Metazoa	518	false
Q99615	Homo sapiens	Metazoa	494	false
Q99729	Homo sapiens	Metazoa	332	false
Q99733	Homo sapiens	Metazoa	375	false
Q99836	Homo sapiens	Metazoa	296	false
Q99966	Homo sapiens	Metazoa	193	false
Q9BT23	Homo sapiens	Metazoa	127	false
Q9BVN2	Homo sapiens	Metazoa	902	false
Q9BWT1	Homo sapiens	Metazoa	371	false
Q9BWU0	Homo sapiens	Metazoa	742	false
Q9BZG8	Homo sapiens	Metazoa	438	false
Q9BZZ5	Homo sapiens	Metazoa	524	false
Q9GZS3	Homo sapiens	Metazoa	305	false
Q9GZZ1	Homo sapiens	Metazoa	169	false
Q9H040	Homo sapiens	Metazoa	489	false
Q9H063	Homo sapiens	Metazoa	256	false
Q9H0A8	Homo sapiens	Metazoa	199	false
Q9H0E7	Homo sapiens	Metazoa	712	false
Q9H1E3	Homo sapiens	Metazoa	243	false
Q9H3K6	Homo sapiens	Metazoa	86	false
Q9HAV4	Homo sapiens	Metazoa	1204	false
Q9HB71	Homo sapiens	Metazoa	228	false
Q9NPJ8	Homo sapiens	Metazoa	142	false
Q9NQR1	Homo sapiens	Metazoa	393	false
Q9NR90	Homo sapiens	Metazoa	486	false
Q9NS73	Homo sapiens	Metazoa	344	false
Q9NUK0	Homo sapiens	Metazoa	354	false
Q9NWM0	Homo sapiens	Metazoa	555	false
Q9NWU2	Homo sapiens	Metazoa	228	false
Q9NWV8	Homo sapiens	Metazoa	329	false
Q9NWZ5	Homo sapiens	Metazoa	548	false
Q9NX08	Homo sapiens	Metazoa	183	false
Q9NX55	Homo sapiens	Metazoa	121	false
Q9NYG5	Homo sapiens	Metazoa	84	false
Q9P0M6	Homo sapiens	Metazoa	372	false
Q9P0R6	Homo sapiens	Metazoa	139	false
Q9P127	Homo sapiens	Metazoa	313	false
Q9UBW8	Homo sapiens	Metazoa	275	false
Q9UGK8	Homo sapiens	Metazoa	458	false
Q9UGP5	Homo sapiens	Metazoa	575	false
Q9UH92	Homo sapiens	Metazoa	298	false
Q9UIA9	Homo sapiens	Metazoa	1087	false
Q9UJQ4	Homo sapiens	Metazoa	1053	false
Q9UK73	Homo sapiens	Metazoa	627	false
Q9UKK6	Homo sapiens	Metazoa	140	false
Q9ULR3	Homo sapiens	Metazoa	514	false
Q9UNE7	Homo sapiens	Metazoa	303	false
Q9UNS2	Homo sapiens	Metazoa	423	false
Q9UPR3	Homo sapiens	Metazoa	1016	false
Q9UQ88	Homo sapiens	Metazoa	783	false
Q9Y252	Homo sapiens	Metazoa	685	false
Q9Y2B4	Homo sapiens	Metazoa	290	false
Q9Y2M2	Homo sapiens	Metazoa	375	false
Q9Y2W2	Homo sapiens	Metazoa	641	false
Q9Y3V2	Homo sapiens	Metazoa	267	false
Q9Y508	Homo sapiens	Metazoa	228	false
Q9Y5Z7	Homo sapiens	Metazoa	792	false
Q9Y692	Homo sapiens	Metazoa	573	false
Q9Y6K9	Homo sapiens	Metazoa	419	false
O75608	Homo sapiens	Metazoa	230	false
Q562E7	Homo sapiens	Metazoa	1941	false
P08631	Homo sapiens	Metazoa	526	false
P93736	Arabidopsis thaliana	Plants	1108	false
O60716	Homo sapiens	Metazoa	968	false
P06703	Homo sapiens	Metazoa	90	false
Q13585	Homo sapiens	Metazoa	617	true
P04637	Homo sapiens	Metazoa	393	false
H0YL14	Homo sapiens	Metazoa	139	true
O00482	Homo sapiens	Metazoa	541	false
O14818	Homo sapiens	Metazoa	248	false
O15287	Homo sapiens	Metazoa	622	false
O43809	Homo sapiens	Metazoa	227	false
O60885	Homo sapiens	Metazoa	1362	false
O75677	Homo sapiens	Metazoa	317	false
O75832	Homo sapiens	Metazoa	226	false
O94761	Homo sapiens	Metazoa	1208	false
O95149	Homo sapiens	Metazoa	360	false
O95163	Homo sapiens	Metazoa	1332	false
O95273	Homo sapiens	Metazoa	360	false
O95503	Homo sapiens	Metazoa	412	false
O95863	Homo sapiens	Metazoa	264	false
P02533	Homo sapiens	Metazoa	472	false
P05388	Homo sapiens	Metazoa	317	false
P13631	Homo sapiens	Metazoa	454	false
P13639	Homo sapiens	Metazoa	858	false
P15531	Homo sapiens	Metazoa	152	false
P15822	Homo sapiens	Metazoa	2718	false
P16401	Homo sapiens	Metazoa	226	false
P16403	Homo sapiens	Metazoa	213	false
P18615	Homo sapiens	Metazoa	380	false
P20671	Homo sapiens	Metazoa	130	false
P25787	Homo sapiens	Metazoa	234	false
P25963	Homo sapiens	Metazoa	317	false
P27708	Homo sapiens	Metazoa	2225	false
P31944	Homo sapiens	Metazoa	242	false
P35226	Homo sapiens	Metazoa	326	false
P35520	Homo sapiens	Metazoa	551	false
P35638	Homo sapiens	Metazoa	169	false
P40692	Homo sapiens	Metazoa	756	false
P41218	Homo sapiens	Metazoa	407	false
P41226	Homo sapiens	Metazoa	1012	false
P42568	Homo sapiens	Metazoa	568	false
P43246	Homo sapiens	Metazoa	934	false
P48426	Homo sapiens	Metazoa	406	false
P48595	Homo sapiens	Metazoa	397	false
P49720	Homo sapiens	Metazoa	205	false
P51003	Homo sapiens	Metazoa	745	false
P51610	Homo sapiens	Metazoa	2035	false
P52298	Homo sapiens	Metazoa	156	false
P56693	Homo sapiens	Metazoa	466	false
P57059	Homo sapiens	Metazoa	783	false
P61960	Homo sapiens	Metazoa	85	false
P62312	Homo sapiens	Metazoa	80	false
P62877	Homo sapiens	Metazoa	108	false
P78356	Homo sapiens	Metazoa	416	false
P78545	Homo sapiens	Metazoa	371	false
P85037	Homo sapiens	Metazoa	733	false
Q00532	Homo sapiens	Metazoa	357	false
Q00978	Homo sapiens	Metazoa	393	false
Q02556	Homo sapiens	Metazoa	426	false
Q03468	Homo sapiens	Metazoa	1493	false
Q04206	Homo sapiens	Metazoa	551	false
Q13127	Homo sapiens	Metazoa	1097	false
Q13363	Homo sapiens	Metazoa	440	false
Q13469	Homo sapiens	Metazoa	925	false
Q13541	Homo sapiens	Metazoa	118	false
Q14103	Homo sapiens	Metazoa	355	false
Q14145	Homo sapiens	Metazoa	624	false
Q14397	Homo sapiens	Metazoa	625	false
Q14676	Homo sapiens	Metazoa	2089	false
Q147X3	Homo sapiens	Metazoa	362	false
Q15306	Homo sapiens	Metazoa	451	false
Q15466	Homo sapiens	Metazoa	257	false
Q15796	Homo sapiens	Metazoa	467	false
Q15797	Homo sapiens	Metazoa	465	false
Q16186	Homo sapiens	Metazoa	407	false
Q32MZ4	Homo sapiens	Metazoa	808	false
Q3KRA9	Homo sapiens	Metazoa	238	false
